participantId,group,lecture_type,practice_type,responseId,concept,responsePrompt,answer,score,coder_notes
69d6384637b632d34190012d,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",how two things relate to each other,0.5,Mentions relatedness only; no direction/strength.
69d6384637b632d34190012d,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",a gradual increase or decline in values over time,0.5,Mentions gradual increase/decline over time; partial trend idea.
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",how an x and y variable tend to move (direction and strength),1,Mentions x/y variables move with direction and strength.
69e5784c8279ec7791f5c7c2,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",the change of some y variable over the change over some x variable,1,Mentions change in y over change in x.
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:","A correlation is a statistical measure indicating the extent to which two or more variables fluctuate  together, representing a mutual relationship.",1,"Mentions statistical measure, extent, variables fluctuate together."
69e69bafa189bbf97f972a9a,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",it represents the incline.,0.5,Mentions incline; partial but no rate/change.
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:","I connection between values or variables, but one that isn't necessarily defined by a causal component.",0.5,Mentions connection between variables and not causal; lacks strength/direction.
69e8b8d3a88ba7b372cefe9f,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:","A slope is a change in the Y, or vertical axis value, as X increases by 1 unit",1,Mentions change in y as x increases by 1 unit.
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",Two things seemingly changing as one another changes.,0.5,Mentions co-change but vague; no strength/direction measure.
69ed0abf57b9596c4f695608,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",The angle of the line between two statistical points.,0.5,Mentions angle of line between points; partial but no rate/change.
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,q-correlation,correlation,"In your own words, please describe what a correlation is:",A correlation is the strength and direction of two variables' relationship.,1,Mentions strength and direction of variables' relationship.
69ed3447bad8df1a3928ef2e,PP,PlotWise,PlotWise,q-slope,slope,"In your own words, please describe what a slope is:",A slope is a line that slants either upward or downward and represents vertical and horizontal change.,0.5,Mentions slant upward/downward and vertical/horizontal change but no ratio/rate.
